line;length(cm)-1;length(cm)-2;length(cm)-3;Lat_roots
Col-0;5,968;5,941;5,912;10
Col-0;5,334;5,266;5,271;5
Col-0;4,553;4,566;4,638;5
Col-0;5,144;5,196;5,153;6
Col-0;5,439;5,482;5,346;7
Col-0;5,843;5,918;5,864;11
Col-0;6,252;6,298;6,165;13
Col-0;3,818;3,788;3,765;4
Col-0;4,388;4,397;4,35;3
Col-0;6,251;6,244;6,222;9
Col-0;5,639;5,649;5,573;7
Col-0;5,133;5,223;5,048;3
Col-0;5,581;5,514;5,546;9
Col-0;6,001;5,931;5,948;10
Col-0;5,582;5,678;5,633;2
Col-0;5,441;5,389;5,476;4
Col-0;5,941;6,01;5,91;3
Col-0;4,864;4,854;4,943;7
Col-0;5,4;5,338;5,436;8
Col-0;6,432;6,446;6,366;11
K9;5,683;5,588;5,613;8
K9;5,803;5,872;5,832;14
K9;5,596;5,569;5,631;6
K9;6,52;6,424;6,539;18
K9;4,604;4,694;4,644;5
K9;6,44;6,477;6,471;13
K9;5,515;5,567;5,608;12
K9;6,291;6,289;6,355;20
K9;5,722;5,802;5,765;15
K9;5,822;5,902;5,915;12
K9;5,683;5,732;5,666;8
K9;5,803;5,825;5,845;14
K9;5,596;5,612;5,669;6
K9;6,52;6,483;6,497;18
K9;4,604;4,613;4,549;5
K9;6,44;6,358;6,468;13
K9;5,515;5,607;5,596;12
K9;6,291;6,391;6,313;20
K9;5,722;5,714;5,717;15
K9;5,822;5,765;5,863;12
